NombreDeProveedor,,,,,,,,,,,,,,,,,,,
Azure,AWS,GCP,,,,,,,,,,,,,,,,,
TipoDeServicio,NombreDeServicioAzure,NombreDeServicioAWS,NombreDeServicioGCP,valorCosAz,valorEOAz,valorEfAz,valorFiaAz,valorSegAz,valorCosAws,valorEOAws,valorEfAws,valorFiaAws,valorSegAws,valorCosGcp,valorEOGcp,valorEfGcp,valorFiaGcp,valorSegGcp,
Compute Services,Virtual Machines,Elastic Compute Cloud (EC2),Compute Engine,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,
Object Storage,Azure Blob Storage,Amazon Simple Storage (S3),Cloud Storage,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,
Analytics,Azure Stream Analytics,Amazon Kinesis,Cloud Dataflow,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,
Compliance,Azure Trust Center,AWS CloudHSM,Google Cloud Platform Security,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Notifications,Azure Notification Hub,Amazon Simple Notification Service (SNS),Cloud Pub/Sub,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Serverless Computing,Azure Functions,AWS Lambda,Cloud functions,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,
Virtual Network,Azure Virtual Network,Amazon VPC,Virtual Private Cloud (Network),101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,
Scaling Options,Azure Autoscale,Auto Scaling,Autoscaler,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,
Load Balancing,Load Balancer for Azure,Elastic Load Balancing,Cloud Load Balancing,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,
Container Support,Azure Container Service ,Amazon Elastic Container Service (EC2),Container Engine,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,
Content Delivery ,Azure CDN,Amazon CloudFront,Cloud CDN,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,
SQL Database Options,Azure SQL Database,Amazon Aurora,Cloud Spanner,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,
NoSQL Database Options,Azure Cosmos DB,Amazon DynamoDB,Cloud Datastore,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,
Block Storage,Azure Block Blob,Amazon Elastic Block Store,Persistent Disk,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,
Performance Monitoring,Azure Moinitor,Amazon CloudWatch,Operations (Stackdriver Monitoring),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
DNS Services,Azure DNS,Amazon Route 53,Cloud DNS,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,
Traffic Routing & Failover Services,Azure Traffic Manager,Amazon Route 53,Cloud Traffic Director,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
Automation,Azure Automation Accounts,AWS Opsworks,Compute Engine Management,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Log Monitoring,Azure Operational Insights,AWS CloudTrail,Cloud Logging,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Administration & Security,Azure Identity and Access Management (IAM),AWS Identity and Access Management (IAM),Cloud Identity and Access Management (IAM),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Directory Services,Active Directory Domain Services,AWS Directory Service,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Management Services & Options,Azure Resource Manager,AWS CloudFormation,Cloud Deployment Manager,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kubernetes Managed Service,Azure Kubernetes Service (AKS),Elastic Kubernetes Service (EKS),Kubernetes Engine,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,
Register of Containers,Azure Container Registry,EC2 Container Registry (ECR),Container Registry,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,
Batch Processing,Import/Export,AWS DataSync,Storage Transfer Service,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Big Data Transfer,Azure Data Box,Snowball Edge,Data Transfer,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Cache Storage,Azure Redis Cache,ElastiCache,Cloud Memorystore,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,
Database Migration,Azure Database Migration Service,Database Migration Service,-,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,
